ID,Date,Statut,Keyword,Titre,URL
1,mercredi 8 octobre 2025,,Atelier,Fresque du numérique: ,https://archipel.ville-fouesnant.fr/agenda/atelier-2tonnes-3/
3,samedi 8 novembre 2025,,"Atelier, Initiation, Danse",Initiation danse contemporaine #1: Thierry Micoin,https://archipel.ville-fouesnant.fr/agenda/initiation-a-la-danse-contemporaine-1/
4,mercredi 28 janvier 2026,,"Atelier, Initiation, Danse","Initiation danse contemporaine #2: danseur·euse de ""Tendre Carcasse""",https://archipel.ville-fouesnant.fr/agenda/initiation-a-la-danse-contemporaine-2/
5,samedi 14 février 2026,,Atelier,Atelier cyanotype: Philippe Bréson,https://archipel.ville-fouesnant.fr/agenda/atelier-cyanotype/
6,samedi 7 mars 2026,,Atelier,Pâtisseries turques: Association Culturelle Turque de Quimper,https://archipel.ville-fouesnant.fr/agenda/patisseries-turques/
7,mercredi 25 mars 2026,,"Atelier, Initiation, Danse",Initiation danse contemporaine #3: danseur·euse du spectacle Les yeux fermés,https://archipel.ville-fouesnant.fr/agenda/initiation-a-la-danse-contemporaine-3/
8,mercredi 13 mai 2026,,"Atelier, Initiation, Danse",Initiation danse classique: danseur·euse du London City Ballet,https://archipel.ville-fouesnant.fr/agenda/initiation-a-la-danse-classique/
9,samedi 24 janvier 2026,complet,Cirque,De bonnes raisons #1: La Volte-cirque,https://archipel.ville-fouesnant.fr/agenda/de-bonnes-raisons-1/
10,dimanche 25 janvier 2026,complet,Cirque,De bonnes raisons #2: La Volte-cirque,https://archipel.ville-fouesnant.fr/agenda/de-bonnes-raisons-2/
11,vendredi 8 mai 2026,,Cirque,Le Cabaret Renversé #1: Compagnie La Faux Populaire/Le Mort aux Dents,https://archipel.ville-fouesnant.fr/agenda/le-cabaret-renverse-1/
12,samedi 9 mai 2026,,Cirque,Le Cabaret Renversé #2: Compagnie La Faux Populaire/Le Mort aux Dents,https://archipel.ville-fouesnant.fr/agenda/le-cabaret-renverse-2/
13,dimanche 10 mai 2026,,Cirque,Le Cabaret Renversé #3: Compagnie La Faux Populaire/Le Mort aux Dents,https://archipel.ville-fouesnant.fr/agenda/le-cabaret-renverse-3/
14,mercredi 1 octobre 2025,Liste d'attente,Club,Club de lecture #1 ,https://archipel.ville-fouesnant.fr/agenda/club-de-lecture-1-2/
15,mercredi 5 novembre 2025,,Club,Apéro bulles #1 ,https://archipel.ville-fouesnant.fr/agenda/apero-bulles-1/
16,mercredi 3 décembre 2025,Liste d'attente,Club,Club de lecture #2 Temps fort Turquie,https://archipel.ville-fouesnant.fr/agenda/club-de-lecture-1/
17,mercredi 21 janvier 2026,,Club,Apéro bulles #2 ,https://archipel.ville-fouesnant.fr/agenda/apero-bulles-2/
18,mercredi 4 février 2026,,Club,Club de lecture #3 ,https://archipel.ville-fouesnant.fr/agenda/club-de-lecture-3/
19,mercredi 1 avril 2026,,Club,Club de lecture #4 Présentation du Prix du Roman Cezam,https://archipel.ville-fouesnant.fr/agenda/club-de-lecture-4/
20,mercredi 6 mai 2026,,Club,Apéro bulles #3 ,https://archipel.ville-fouesnant.fr/agenda/apero-bulles-3/
21,mercredi 3 juin 2026,,Club,Club de lecture #5 ,https://archipel.ville-fouesnant.fr/agenda/club-de-lecture-5/
22,lundi 6 octobre 2025,,Conférence,"Percussions et rythmes, de l’Orient à la Bretagne: Dominique Molard",https://archipel.ville-fouesnant.fr/agenda/percussions-et-rythmes-de-lorient-a-la-bretagne/
23,mardi 14 octobre 2025,,Conférence,Le pouvoir rend-il fou ?: Conférence de Yan Marchand,https://archipel.ville-fouesnant.fr/agenda/le-pouvoir-rend-il-fou/
24,mardi 4 novembre 2025,Dernières places,Conférence,Est-il si difficile de se comprendre ?: Conférence de Yan Marchand,https://archipel.ville-fouesnant.fr/agenda/est-il-si-difficile-de-se-comprendre/
25,mardi 25 novembre 2025,,Conférence,"La Turquie, legs du passé, de l’Empire à la République: Hamit Bozarslan",https://archipel.ville-fouesnant.fr/agenda/la-turquie-legs-du-passe-de-lempire-a-la-republique/
26,mardi 27 janvier 2026,,Conférence,La photographie comme mémoire du paysage: Nathalie Boulouch,https://archipel.ville-fouesnant.fr/agenda/la-photographie-comme-memoire-du-paysage/
27,mardi 3 février 2026,,Conférence,"Pierre Loti, grand ami des Turcs: Alain Quella-Villéger",https://archipel.ville-fouesnant.fr/agenda/pierre-loti-grand-ami-des-turcs/
28,mercredi 4 février 2026,Liste d'attente,Conférence,La longue histoire des luttes paysannes pour la terre: Léandre Mandart,https://archipel.ville-fouesnant.fr/agenda/la-longue-histoire-des-luttes-paysannes-pour-la-terre/
29,mardi 10 février 2026,,Conférence,"La Turquie, amie ou ennemie ?: Ariane Bonzon",https://archipel.ville-fouesnant.fr/agenda/la-turquie-amie-ou-ennemie/
30,jeudi 5 mars 2026,Dernières places,Conférence,La violence : une histoire d’héritage ?: Conférence de Yan Marchand,https://archipel.ville-fouesnant.fr/agenda/la-violence-une-histoire-dheritage/
31,vendredi 6 mars 2026,,Conférence,La métropole d’Istanbul: Jean-François Pérouse,https://archipel.ville-fouesnant.fr/agenda/la-metropole-distanbul/
32,mardi 24 mars 2026,,Conférence,"La photonique, du Noir à la Lumière: Philippe Arguel",https://archipel.ville-fouesnant.fr/agenda/la-photonique-du-noir-a-la-lumiere/
33,mardi 7 avril 2026,,Conférence,L’outrenoir de Pierre Soulages: Catherine Koenig,https://archipel.ville-fouesnant.fr/agenda/loutrenoir-de-pierre-soulages/
34,samedi 22 novembre 2025,,Conversation,Café Carbone #1 ,https://archipel.ville-fouesnant.fr/agenda/cafe-carbone-1/
35,samedi 10 janvier 2026,,Conversation,Café Carbone #2 ,https://archipel.ville-fouesnant.fr/agenda/cafe-carbone-2/
36,samedi 4 avril 2026,,Conversation,Café Carbone #3 ,https://archipel.ville-fouesnant.fr/agenda/cafe-carbone-3/
37,jeudi 6 novembre 2025,,Danse,Lutte·s: T.M Project / Thierry Micouin,https://archipel.ville-fouesnant.fr/agenda/lutte%c2%b7s/
38,jeudi 29 janvier 2026,,Danse,Tendre Carcasse: CieF | Arthur Perole,https://archipel.ville-fouesnant.fr/agenda/tendre-carcasse/
39,jeudi 26 mars 2026,Liste d'attente,Danse,Les yeux fermés: Cie S’Poart | Mickaël Le Mer,https://archipel.ville-fouesnant.fr/agenda/les-yeux-fermes/
40,mardi 12 mai 2026,Liste d'attente,Danse,London City Ballet: Momentum,https://archipel.ville-fouesnant.fr/agenda/london-city-ballet/
41,mercredi 3 décembre 2025,,Échange,Un petit déjeuner avec Mathieu Coblentz: autour du spectacle Le Roi Lear,https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-mathieu-coblentz/
42,vendredi 16 janvier 2026,,Échange,Un petit déjeuner avec Jonathan Mallard: autour du spectacle Bois brûlé,https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-jonathan-mallard/
43,vendredi 6 février 2026,,Échange,Un petit déjeuner avec Gweltaz Chauviré: autour du spectacle Terre Noire,https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-gweltaz-chauvire/
44,mercredi 4 mars 2026,,Échange,Un petit déjeuner avec Mélanie Leray: autour du spectacle Scènes d’intérieur,https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-melanie-leray/
